price_cad,bedrooms,bathrooms,availability_date,transit_min_to_ubc,neighborhood,address_or_postal,address_text,source,source_listing_id,url,title
5500,7.0,,,86,North Burnaby (Near SFU),"Approx map: 49.264000, -122.936900","Approx map: 49.264000, -122.936900",craigslist_van,7932674659,https://vancouver.craigslist.org/van/apa/d/burnaby-entire-bedroom-house-for-rent/7932674659.html,🏡 Entire 7 Bedroom House for Rent
4550,6.0,,,44,"Vancouver,Canada Line, Cambie","Approx map: 49.247500, -123.121000","Approx map: 49.247500, -123.121000",craigslist_van,7932671497,https://vancouver.craigslist.org/van/apa/d/vancouver-entire-house-bedrooms-by/7932671497.html,Entire House 6 Bedrooms By Canada Line Station
6000,7.0,,,35,"Burnaby, BC, UBC","2429 McBain Ave, Vancouver, BC, BC V6L2C5","2429 McBain Ave, Vancouver, BC, BC V6L2C5",craigslist_van,7932644110,https://vancouver.craigslist.org/van/apa/d/vancouver-fully-furnished-arbutus-whole/7932644110.html,Fully Furnished Arbutus Whole House
4200,5.0,,,55,Vancouver,"43rd ave, Vancouver, BC V5R2Z8","43rd ave, Vancouver, BC V5R2Z8",craigslist_van,7931594367,https://vancouver.craigslist.org/van/apa/d/vancouver-east-van-house-for-rent/7931594367.html,East Van House for Rent
3895,4.0,,,24,Vancouver,"4150 W 8th Ave, Vancouver, BC V6R1Z6","4150 W 8th Ave, Vancouver, BC V6R1Z6",craigslist_van,7932486329,https://vancouver.craigslist.org/van/apa/d/vancouver-legance-and-uninterrupted/7932486329.html,legance and Uninterrupted Ocean Vistas
6595,7.0,,,23,Shaughnessy,"Approx map: 49.257834, -123.185406","Approx map: 49.257834, -123.185406",craigslist_van,7932450603,https://vancouver.craigslist.org/van/apa/d/vancouver-shaughnessy-character-house/7932450603.html,Shaughnessy character house Upper 2 floors or whole house PRIME Locati
4500,4.0,,,50,Vancouver,"ontario, Vancouver, BC V5Y2V9","ontario, Vancouver, BC V5Y2V9",craigslist_van,7932442041,https://vancouver.craigslist.org/van/apa/d/vancouver-move-in-ready-bedroom-house/7932442041.html,MOVE IN READY 4 bedroom house for rent in Oakridge Area
4900,4.0,2.0,,17,w 16th Ave Vancouver,"Approx map: 49.258521, -123.201950","Approx map: 49.258521, -123.201950",craigslist_van,7931101041,https://vancouver.craigslist.org/van/apa/d/vancouver-4900-4br-bath-single-house/7931101041.html,$4900 /m 4br & 2 bath single house close to UBC
5500,6.0,,,41,"Vancouver, BC","Selkirk Street, Vancouver, BC V6P4H2","Selkirk Street, Vancouver, BC V6P4H2",craigslist_van,7932420299,https://vancouver.craigslist.org/van/apa/d/vancouver-luxury-bedroom-home-for-rent/7932420299.html,Luxury 6-Bedroom Home for Rent – Prime Vancouver Location | 5150
4000,5.0,3.0,,106,city of vancouver,"Approx map: 49.155100, -122.912400","Approx map: 49.155100, -122.912400",craigslist_van,7930015480,https://vancouver.craigslist.org/van/apa/d/delta-northeast-bedroom-bathroom-home/7930015480.html,"5-bedroom, 3-bathroom home located Delta"
985,4.0,,,64,Commercial Drive,"Approx map: 49.255100, -123.066700","Approx map: 49.255100, -123.066700",craigslist_van,7926291709,https://vancouver.craigslist.org/van/apa/d/vancouver-room-in-bed-house-available/7926291709.html,Room in 4 bed house available starting June 1st near Trout Lake!
4500,4.0,,,29,Vancouver,"W48th Avenue, Vancouver, BC V5Y2V9","W48th Avenue, Vancouver, BC V5Y2V9",craigslist_van,7930801532,https://vancouver.craigslist.org/van/apa/d/vancouver-available-now-bedrooms-house/7930801532.html,Available NOW 4 bedrooms house for rent in Oakridge Area
6000,4.0,4.0,,46,Mount Pleasant,"Approx map: 49.262000, -123.092300","Approx map: 49.262000, -123.092300",craigslist_van,7932383707,https://vancouver.craigslist.org/van/apa/d/vancouver-mount-pleasant-half-duplex/7932383707.html,Mount Pleasant - Half Duplex | 4 bed/4 bath | Avail June 15 or July 1
4400,5.0,,,65,Vancouver,"Approx map: 49.226423, -123.042412","Approx map: 49.226423, -123.042412",craigslist_van,7932368554,https://vancouver.craigslist.org/van/apa/d/vancouver-van-east-house-for-rent/7932368554.html,Van East House for Rent
1050,5.0,,,21,"UBC, Dunbar, Southlands, Kerrisdale","Holland Street, Vancouver, BC V6N2A7","Holland Street, Vancouver, BC V6N2A7",craigslist_van,7929260796,https://vancouver.craigslist.org/van/apa/d/vancouver-private-rooms-for-rent-ubc/7929260796.html,"Private Rooms for Rent UBC, Dunbar"
6500,5.0,3.0,,35,Vancouver,"w 28, Vancouver, BC V6S1S7","w 28, Vancouver, BC V6S1S7",craigslist_van,7924218569,https://vancouver.craigslist.org/van/apa/d/vancouver-brand-new-br-ba-ac-laneway/7924218569.html,Brand New 5-BR 3-BA w AC laneway house | St George | UBC
2500,4.0,,,93,Vancouver,"Approx map: 49.256144, -122.899287","Approx map: 49.256144, -122.899287",craigslist_van,7932229301,https://vancouver.craigslist.org/van/apa/d/burnaby-bed-upper-unit-close-to/7932229301.html,4 BED UPPER UNIT CLOSE TO LOUGHEED MALL AND SKYTRAIN STATION
5500,4.0,,,32,vancouver,"Approx map: 49.226869, -123.139701","Approx map: 49.226869, -123.139701",craigslist_van,7930650882,https://vancouver.craigslist.org/van/apa/d/vancouver-south-granville-4bed-corner/7930650882.html,South Granville 4Bed Corner Townhome w/ AC + Double Garage
5800,4.0,4.0,,41,Main/Fraser,"Approx map: 49.232700, -123.091700","Approx map: 49.232700, -123.091700",craigslist_van,7932151174,https://vancouver.craigslist.org/van/apa/d/vancouver-bed-bath-family-home-for-rent/7932151174.html,4 Bed / 4 Bath Family Home for Rent – East Vancouver
3200,5.0,,,76,city of vancouver,"1st Avenue, Vancouver, BC V5M1A2","1st Avenue, Vancouver, BC V5M1A2",craigslist_van,7932120057,https://vancouver.craigslist.org/van/apa/d/vancouver-excellent-family-house-in/7932120057.html,Excellent FAMILY HOUSE in East Vancouver || 5bd+2bth+yard+parking
3800,4.0,3.5,,127,Willoughby,"80 Avenue, Langley, BC V2Y0J4","80 Avenue, Langley, BC V2Y0J4",craigslist_van,7929688454,https://vancouver.craigslist.org/van/apa/d/langley-township-northwest-bed-35-bath/7929688454.html,🏡 4 Bed + 3.5 Bath Townhouse for Rent – Willoughby area Langley
5200,4.0,,,40,Vancouver,"Approx map: 49.257274, -123.123436","Approx map: 49.257274, -123.123436",craigslist_van,7931993631,https://vancouver.craigslist.org/van/apa/d/vancouver-bright-bedroom-character/7931993631.html,Bright 4-bedroom character duplex near VGH with sunny gardens
3000,5.0,,,,West Vancouver,"Approx map: 49.461400, -123.329400","Approx map: 49.461400, -123.329400",craigslist_van,7931993532,https://vancouver.craigslist.org/van/apa/d/west-vancouver-luxury-mega-mansion/7931993532.html,Luxury mega mansion
5000,5.0,,,38,Vancouver,"34th ave, Vancouver, BC V6P3W4","34th ave, Vancouver, BC V6P3W4",craigslist_van,7931992299,https://vancouver.craigslist.org/van/apa/d/vancouver-fifa-2026-luxury-short-term/7931992299.html,FIFA 2026 Luxury short term Rental – Westside Vancouver (Private Home)
1000,4.0,,,30,Alma st and W 10th AVE,"Alma st, VANCOUVER, BC V6X0C3","Alma st, VANCOUVER, BC V6X0C3",craigslist_van,7927725239,https://vancouver.craigslist.org/van/apa/d/vancouver-one-bedroom-available-now-in/7927725239.html,one bedroom available now in basement CLOSE TO UBC
3600,4.0,2.0,,68,Vancouver,"East 1st Avenue, vancouver, BC V5M1A3","East 1st Avenue, vancouver, BC V5M1A3",craigslist_van,7931966065,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-bathroom-ground-floor/7931966065.html,*** 4 BEDROOM 2 BATHROOM GROUND FLOOR SUITE NANAIMO AND 1ST AVENUE ***
5190,4.0,,,42,Vancouver,"Arbutus, Vancouver, BC V6L2B2","Arbutus, Vancouver, BC V6L2B2",craigslist_van,7931957872,https://vancouver.craigslist.org/van/apa/d/vancouver-br-upper-suite-with-mountain/7931957872.html,4 BR Upper Suite with Mountain View
4570,5.0,2.0,,67,Vancouver,"E 14th Ave, Vancouver, BC V5M2J5","E 14th Ave, Vancouver, BC V5M2J5",craigslist_van,7931947834,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-bath-top-floor-rupert/7931947834.html,5 Bedroom 2 Bath Top Floor Rupert SkyTrain Furnished or unfurnished
3800,4.0,,,52,Vancouver,"Approx map: 49.250383, -123.095069","Approx map: 49.250383, -123.095069",craigslist_van,7926682125,https://vancouver.craigslist.org/van/apa/d/vancouver-spacious-basement-suite-in/7926682125.html,Spacious Basement Suite in trendy Main St. Neighbourhood
1000,4.0,,,31,Alma st and W 10th AVE,"10th AVE, VANCOUVER, BC V6X0C3","10th AVE, VANCOUVER, BC V6X0C3",craigslist_van,7926911474,https://vancouver.craigslist.org/van/apa/d/richmond-10-minutes-to-ubc-basement/7926911474.html,8-10 Minutes to UBC 1 basement bedroom for rent
5500,4.0,4.0,,35,Vancouver west,"Approx map: 49.249100, -123.208800","Approx map: 49.249100, -123.208800",craigslist_van,7929962128,https://vancouver.craigslist.org/van/apa/d/vancouver-new-built-duplex-house-bed/7929962128.html,New built Duplex house 4 bed room4 bathroom for rent
3135,4.0,,,56,Knight Street,"Knight Street, Vancouver, BC V5N3K4","Knight Street, Vancouver, BC V5N3K4",craigslist_van,7926009746,https://vancouver.craigslist.org/van/apa/d/vancouver-large-bedroom-apartment-with/7926009746.html,Large 4 Bedroom Apartment with Deck 15 Mins to Downtown
2650,4.0,,,43,Vancouver,"Knight Street, Vancouver, BC V5N3K6","Knight Street, Vancouver, BC V5N3K6",craigslist_van,7925067792,https://vancouver.craigslist.org/van/apa/d/vancouver-spacious-bedroom-apartment-15/7925067792.html,Spacious 4 Bedroom Apartment 15 mins to Downtown
2500,4.0,2.0,,56,Vancouver,"Kingsway, Vancouver, BC V5R4S7","Kingsway, Vancouver, BC V5R4S7",craigslist_van,7926506111,https://vancouver.craigslist.org/van/apa/d/vancouver-house-with-bedrooms-and/7926506111.html,House with 4 bedrooms and 2 bathrooms
3800,4.0,,,51,Vancouver East,"Approx map: 49.230973, -123.054031","Approx map: 49.230973, -123.054031",craigslist_van,7927389607,https://vancouver.craigslist.org/van/apa/d/vancouver-renovated-four-bedrooms-suite/7927389607.html,Renovated four bedrooms suite for rent
2500,4.0,,,55,Vancouver,"2262 nanaimo street, Vancouver, BC V5N5C9","2262 nanaimo street, Vancouver, BC V5N5C9",craigslist_van,7925726147,https://vancouver.craigslist.org/van/apa/d/vancouver-bedrooms-upper-floor-house/7925726147.html,4 Bedrooms Upper Floor House for Rent 2262 Nanaimo Street & E 7th Ave
